district,leg_year,pop_moe,native_moe,foreign_born_moe,not_citizen_moe,not_citizen_moe_perc
140,2016,3671.0,2773.0,2462.0,2426.0,1.4
148,2016,3569.0,3241.0,2565.0,2413.0,1.4
137,2016,2909.0,2828.0,2644.0,2437.0,1.3
138,2016,3557.0,3121.0,2854.0,2455.0,1.3
28,2016,3794.0,4126.0,3662.0,3167.0,1.3
146,2016,4054.0,3273.0,2560.0,2340.0,1.3
85,2016,3611.0,2798.0,2574.0,2289.0,1.3
142,2016,3675.0,3366.0,2390.0,2323.0,1.3
149,2016,3477.0,3279.0,2598.0,2441.0,1.3
133,2016,2937.0,2696.0,2659.0,2377.0,1.3
36,2016,2856.0,3174.0,2253.0,2189.0,1.2
90,2016,2964.0,2611.0,2187.0,2015.0,1.2
145,2016,3061.0,2775.0,2178.0,2135.0,1.2
41,2016,2749.0,3129.0,2211.0,2101.0,1.2
40,2016,3944.0,3403.0,2550.0,2348.0,1.2
104,2016,3247.0,2739.0,2229.0,2225.0,1.2
141,2016,3681.0,3258.0,2532.0,2193.0,1.2
131,2016,4663.0,3944.0,2755.0,2418.0,1.2
126,2016,3789.0,3056.0,2921.0,2219.0,1.2
132,2016,4629.0,4347.0,2979.0,2719.0,1.2
39,2016,2874.0,2784.0,2020.0,1934.0,1.1
38,2016,3380.0,3270.0,2172.0,1933.0,1.1
103,2016,2902.0,2566.0,1948.0,1928.0,1.1
102,2016,2557.0,2575.0,2251.0,2030.0,1.1
77,2016,3102.0,2995.0,1908.0,1775.0,1.1
46,2016,3401.0,2879.0,2404.0,2061.0,1.1
110,2016,3969.0,3477.0,2026.0,1970.0,1.1
147,2016,3889.0,3483.0,2468.0,2139.0,1.1
143,2016,2875.0,2795.0,1870.0,1881.0,1.1
135,2016,4296.0,4286.0,2637.0,1993.0,1.1
101,2016,2638.0,2665.0,2478.0,2116.0,1.1
107,2016,3168.0,2723.0,1866.0,1813.0,1.0
100,2016,3276.0,2921.0,2074.0,1776.0,1.0
105,2016,2653.0,2695.0,2087.0,1862.0,1.0
27,2016,2899.0,3102.0,2097.0,1730.0,1.0
26,2016,3590.0,2922.0,2325.0,1741.0,1.0
114,2016,2680.0,2310.0,2074.0,1877.0,1.0
139,2016,3773.0,3193.0,2492.0,1990.0,1.0
144,2016,2024.0,2364.0,1761.0,1673.0,1.0
15,2016,3515.0,3260.0,2273.0,2061.0,1.0
66,2016,1625.0,2311.0,2030.0,1834.0,1.0
50,2016,3847.0,3028.0,2277.0,2062.0,1.0
76,2016,2731.0,2656.0,1399.0,1459.0,1.0
75,2016,3026.0,2955.0,2073.0,1744.0,1.0
74,2016,153.0,1588.0,1566.0,1444.0,0.9
150,2016,3522.0,3423.0,1944.0,1719.0,0.9
67,2016,2272.0,2245.0,1720.0,1791.0,0.9
51,2016,3314.0,3067.0,2225.0,1924.0,0.9
123,2016,3380.0,2838.0,1836.0,1644.0,0.9
116,2016,2920.0,2948.0,2009.0,1715.0,0.9
115,2016,1471.0,1869.0,1730.0,1803.0,0.9
113,2016,2820.0,2645.0,1945.0,1669.0,0.9
112,2016,2233.0,2356.0,1940.0,1598.0,0.9
78,2016,2698.0,2648.0,2142.0,1636.0,0.9
80,2016,1890.0,2225.0,1672.0,1569.0,0.9
42,2016,1890.0,2081.0,1700.0,1513.0,0.9
37,2016,2736.0,2744.0,1715.0,1557.0,0.9
94,2016,2123.0,2276.0,1702.0,1622.0,0.9
95,2016,3010.0,2785.0,1733.0,1558.0,0.9
35,2016,4004.0,3764.0,1995.0,1637.0,0.9
23,2016,1394.0,1647.0,1561.0,1370.0,0.8
129,2016,2822.0,2774.0,1990.0,1463.0,0.8
120,2016,3917.0,3430.0,1807.0,1439.0,0.8
125,2016,3310.0,3276.0,1732.0,1624.0,0.8
29,2016,2712.0,3169.0,1965.0,1564.0,0.8
17,2016,-555555555.0,1317.0,1317.0,1303.0,0.8
134,2016,2748.0,2497.0,1653.0,1525.0,0.8
118,2016,3116.0,3037.0,1657.0,1403.0,0.8
49,2016,2861.0,2553.0,1594.0,1389.0,0.8
31,2016,182.0,1448.0,1449.0,1372.0,0.8
117,2016,3674.0,3607.0,1785.0,1540.0,0.8
16,2016,3658.0,3330.0,1603.0,1557.0,0.8
109,2016,3090.0,2983.0,1566.0,1580.0,0.8
106,2016,1540.0,2381.0,2041.0,1798.0,0.8
91,2016,1970.0,2179.0,1607.0,1347.0,0.8
70,2016,1607.0,2301.0,1858.0,1797.0,0.8
64,2016,1093.0,1970.0,1697.0,1416.0,0.8
3,2016,3424.0,3391.0,1778.0,1583.0,0.8
92,2016,1450.0,1695.0,1459.0,1349.0,0.8
55,2016,1931.0,2361.0,1269.0,1117.0,0.7
130,2016,3893.0,3895.0,1962.0,1514.0,0.7
65,2016,1436.0,1921.0,1474.0,1258.0,0.7
52,2016,1874.0,2135.0,1667.0,1460.0,0.7
128,2016,2161.0,2536.0,1684.0,1329.0,0.7
48,2016,2957.0,2783.0,1574.0,1273.0,0.7
79,2016,2490.0,2574.0,1477.0,1273.0,0.7
45,2016,-555555555.0,1477.0,1477.0,1345.0,0.7
81,2016,-555555555.0,1398.0,1398.0,1316.0,0.7
82,2016,-555555555.0,1545.0,1545.0,1371.0,0.7
87,2016,-555555555.0,1191.0,1191.0,1190.0,0.7
14,2016,952.0,1399.0,1303.0,1211.0,0.7
89,2016,2118.0,2188.0,1817.0,1412.0,0.7
122,2016,2811.0,2438.0,1554.0,1415.0,0.7
33,2016,1793.0,2100.0,1687.0,1442.0,0.7
98,2016,1548.0,2062.0,1517.0,1306.0,0.7
12,2016,1834.0,1788.0,1143.0,1128.0,0.7
22,2016,1587.0,1778.0,1135.0,1100.0,0.7
96,2016,2778.0,2753.0,1406.0,1224.0,0.7
111,2016,3233.0,3041.0,1710.0,1311.0,0.7
93,2016,3981.0,3765.0,1755.0,1245.0,0.6
24,2016,1394.0,1483.0,1258.0,1019.0,0.6
124,2016,3034.0,2947.0,1449.0,1141.0,0.6
119,2016,2889.0,2665.0,1424.0,1115.0,0.6
136,2016,1463.0,2019.0,1413.0,1181.0,0.6
63,2016,1664.0,1820.0,1262.0,1199.0,0.6
127,2016,3368.0,3176.0,1464.0,1220.0,0.6
6,2016,1930.0,2121.0,1027.0,942.0,0.6
68,2016,205.0,1021.0,1038.0,985.0,0.6
25,2016,2712.0,2563.0,1368.0,1146.0,0.6
108,2016,2764.0,2471.0,1252.0,1131.0,0.6
73,2016,-555555555.0,1038.0,1038.0,1092.0,0.6
99,2016,2289.0,2379.0,1604.0,1187.0,0.6
47,2016,2863.0,2896.0,1413.0,1303.0,0.6
97,2016,2726.0,2720.0,1395.0,1030.0,0.6
32,2016,2282.0,2416.0,1335.0,1135.0,0.6
86,2016,-555555555.0,997.0,997.0,966.0,0.6
34,2016,2282.0,2609.0,1233.0,1015.0,0.6
88,2016,108.0,972.0,964.0,1007.0,0.6
4,2016,691.0,1083.0,804.0,835.0,0.5
121,2016,2810.0,2663.0,1313.0,919.0,0.5
20,2016,1816.0,1912.0,996.0,816.0,0.5
61,2016,-555555555.0,886.0,886.0,854.0,0.5
69,2016,158.0,858.0,850.0,744.0,0.5
83,2016,1878.0,2048.0,1182.0,962.0,0.5
84,2016,1880.0,1786.0,826.0,794.0,0.5
8,2016,-555555555.0,740.0,740.0,781.0,0.5
10,2016,691.0,1289.0,1129.0,961.0,0.5
13,2016,-555555555.0,891.0,891.0,806.0,0.5
18,2016,-555555555.0,982.0,982.0,979.0,0.5
11,2016,-555555555.0,837.0,837.0,817.0,0.5
30,2016,-555555555.0,909.0,909.0,799.0,0.5
53,2016,224.0,905.0,884.0,783.0,0.5
58,2016,-555555555.0,975.0,975.0,866.0,0.5
56,2016,1773.0,2086.0,1040.0,833.0,0.5
54,2016,1931.0,2245.0,1002.0,808.0,0.4
7,2016,-555555555.0,690.0,690.0,694.0,0.4
5,2016,1930.0,1909.0,796.0,685.0,0.4
57,2016,-555555555.0,628.0,628.0,619.0,0.4
72,2016,254.0,971.0,953.0,719.0,0.4
71,2016,-555555555.0,867.0,867.0,720.0,0.4
43,2016,-555555555.0,874.0,874.0,742.0,0.4
62,2016,-555555555.0,697.0,697.0,601.0,0.4
1,2016,-555555555.0,733.0,733.0,647.0,0.4
2,2016,-555555555.0,953.0,953.0,767.0,0.4
59,2016,-555555555.0,835.0,835.0,695.0,0.4
21,2016,1587.0,1697.0,833.0,724.0,0.4
60,2016,-555555555.0,649.0,649.0,610.0,0.3
44,2016,-555555555.0,957.0,957.0,647.0,0.3
9,2016,-555555555.0,583.0,583.0,565.0,0.3
19,2016,-555555555.0,525.0,525.0,500.0,0.3
