district,leg_year,pop,native,foreign_born,not_citizen,not_citizen_perc,party
6,2016,858155.0,577551.0,280604.0,205180.0,23.9,D
13,2016,880174.0,609955.0,270219.0,194493.0,22.1,D
16,2016,886469.0,653512.0,232957.0,159667.0,18.0,D
27,2016,823380.0,626816.0,196564.0,140297.0,17.0,D
15,2016,890886.0,675875.0,215011.0,144586.0,16.2,D
23,2016,872012.0,694215.0,177797.0,133163.0,15.3,D
29,2016,850211.0,632885.0,217326.0,123049.0,14.5,D
17,2016,893167.0,652314.0,240853.0,126369.0,14.1,R
20,2016,893272.0,721742.0,171530.0,119843.0,13.4,D
21,2016,878840.0,718093.0,160747.0,114739.0,13.1,D
9,2016,886841.0,710906.0,175935.0,114050.0,12.9,R
8,2016,917812.0,711822.0,205990.0,112253.0,12.2,R
14,2016,947088.0,782655.0,164433.0,110451.0,11.7,D
10,2016,897997.0,755061.0,142936.0,94042.0,10.5,D
2,2016,864199.0,735340.0,128859.0,89575.0,10.4,R
7,2016,933974.0,746627.0,187347.0,96083.0,10.3,R
26,2016,865062.0,734963.0,130099.0,84129.0,9.7,D
18,2016,929972.0,766082.0,163890.0,89848.0,9.7,R
31,2016,853070.0,744188.0,108882.0,75892.0,8.9,R
19,2016,883407.0,762775.0,120632.0,73713.0,8.3,R
12,2016,955412.0,818109.0,137303.0,77543.0,8.1,R
4,2016,917553.0,801081.0,116472.0,73944.0,8.1,R
11,2016,862811.0,747915.0,114896.0,59346.0,6.9,R
5,2016,935997.0,831787.0,104210.0,64764.0,6.9,R
22,2016,865325.0,781213.0,84112.0,51104.0,5.9,R
30,2016,894076.0,825665.0,68411.0,45211.0,5.1,R
1,2016,836856.0,780525.0,56331.0,38492.0,4.6,R
25,2016,943184.0,860148.0,83036.0,41055.0,4.4,R
28,2016,797486.0,743415.0,54071.0,34897.0,4.4,R
3,2016,859347.0,808806.0,50541.0,36597.0,4.3,R
24,2016,845577.0,785176.0,60401.0,30803.0,3.6,R
